Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers
Viva la Vida,Coldplay,7 May 2008 (2008-05-07) (album version)25 May 2008 (2008-05-25) (single version),"Baroque pop, [, 1, ], orchestral pop, [, 2, ], art rock, [, 3, ]","4:01 (album version)
4:04 (single version)
3:45 (radio edit)",", Parlophone, 
, Capitol,","Guy Berryman, Jonny Buckland, Will Champion, Chris Martin","Markus Dravs, Brian Eno, Jon Hopkins, Rik Simpson"
Vogue (Madonna song),Madonna,"March 20, 1990 (1990-03-20)",House,"4:49 (album version)
4:21 (single version)",", Sire, 
, Warner Bros.,","Madonna, Shep Pettibone","Madonna, Shep Pettibone"
Wait for U,"Future, Drake, Tems","May 3, 2022",R&B,3:10,", Epic, 
, Freebandz,","Nayvadius Wilburn, Aubrey Graham, Temilade Openiyi, Michael Mule, Isaac De Boni, Floyd E. Bentley III, Jacob Canady, Tejiri Akpoghene","ATL Jacob, FnZ"
Wake Me Up Before You Go-Go,Wham!,14 May 1984,"Bubblegum pop, [, 3, ]",3:50,", Columbia, 
, Epic,",George Michael,George Michael
Walk Like an Egyptian,The Bangles,"September 1, 1986 (1986-09-01)[1][2]","Pop rock, [, 3, ], new wave, [, 4, ], novelty, [, 5, ]",3:24,", Columbia, 
, Bangle-a-lang Music,",Liam Sternberg,David Kahne
Walk Like a Man (The Four Seasons song),The Four Seasons,January 1963[1],"Rock and roll, [, 2, ], pop, [, 3, ], doo-wop, [, 3, ]",2:17,Vee-Jay,"Bob Crewe, Bob Gaudio",Bob Crewe
Walk Right In,the Rooftop Singers,December 1962 (1962-12),"Folk, [, 1, ], folk-pop, [, 1, ], novelty, [, 1, ]",2:33,Vanguard,"Gus Cannon, Hosea Woods","Erik Darling, Bill Svanoe"
Wannabe,Spice Girls,26 June 1996 (1996-06-26),Dance-pop,2:54,Virgin,"Spice Girls, Matt Rowe, Richard Stannard","Matt Rowe, Richard Stannard"
Want Ads,Honey Cone,March 1971,"R&B, soul, funk","3:50 (""Soulful Tapestry"" version)2:45 (""Sweet Replies"" version)",Hot Wax,"Greg Perry, Barney Perkins, and, General Norman Johnson",Greg Perry
WAP (song),"Cardi B, Megan Thee Stallion","August 7, 2020 (2020-08-07)","Hip hop, dirty rap, trap",3:07 (single version)2:46 (radio edit),Atlantic,"Belcalis Almanzar, Megan Pete, Austin Owens, James Foye III, Frank Rodriguez, Jorden Thorpe","Ayo the Producer, Keyz"
War (The Temptations song),The Temptations,"March 6, 1970 (1970-03-06)","Progressive soul, [, 1, ]",3:11,Gordy,"Norman Whitfield, Barrett Strong",Norman Whitfield
Waterfalls (TLC song),TLC,May 1995 (US)July 1995 (UK),"R&B, [, 1, ], hip hop, [, 2, ], pop, [, 3, ]",4:40 (album version)4:19 (single edit)3:32 (no rap edit),", LaFace, 
, Arista,","Marqueze Etheridge, Lisa Lopes, Organized Noize",Organized Noize
Watermelon Sugar,Harry Styles,18 May 2020 (2020-05-18),"Rock, funk, -, pop",2:53,", Erskine, 
, Columbia,","Harry Styles, Mitch Rowland, Tyler Johnson, Thomas Hull","Johnson, Kid Harpoon"
Way 2 Sexy,"Drake, Future, Young Thug","September 3, 2021","Comedy rap, [, 1, ], trap, [, 2, ]",4:18,", Republic, 
, OVO,","Aubrey Graham, Nayvadius Wilburn, Jeffery Williams, Bryan Simmons, Lesidney Ragland, Fred Fairbrass, Richard Fairbrass, Robert Manzoli","TM88, Too Dope"
Weak (SWV song),SWV,"April 16, 1993 (1993-04-16)[1]",,"4:51 (album version)
4:21 (single version)",RCA,Brian Alexander Morgan,Brian Alexander Morgan
Wedding Bell Blues,The 5th Dimension,September 1969,"Soul, bubblegum pop, [, 3, ], Sunshine Pop",2:42,Soul City,Laura Nyro,Bones Howe
Welcome Back (John Sebastian song),John Sebastian,March 1976,"Folk rock, blues rock",2:51,Reprise,John Sebastian,"Steve Barri, John Sebastian"
West End Girls,Pet Shop Boys,9 April 1984 (1984-04-09)[1],Synth-pop,4:45,Bobcat,"Neil Tennant, Chris Lowe",Bobby Orlando
We Are Never Ever Getting Back Together,Taylor Swift,"August 13, 2012 (2012-08-13)","Bubblegum pop, dance-pop, europop, electropop, pop rock, electro-folk",3:12,Big Machine,"Taylor Swift, Max Martin, Shellback","Max Martin, Shellback, Taylor Swift, [, note 1, ]"
We Are the World,,"March 7, 1985 (1985-03-07)","Pop, gospel","7:02 (album version)
6:22 (single version)",", Columbia, 
, CBS,","Michael Jackson, Lionel Richie","Quincy Jones, Michael Omartian"
We Are Young,"Fun, Janelle Monáe","September 20, 2011","Arena rock, indie rock, indie pop",4:10 (album version)3:53 (radio edit),", Fueled by Ramen, 
, Nettwerk, 
, Atlantic,","Jack Antonoff, Jeff Bhasker, Andrew Dost, Nathaniel Ruess",Jeff Bhasker
We Belong Together,Mariah Carey,"March 15, 2005 (2005-03-15)",R&B,3:21,Island Def Jam,"Mariah Carey, Jermaine Dupri, Manuel Seal, Johntá Austin, Kenneth Edmonds, Darnell Bristol, Bobby Womack, Patrick Moten, Sandra Sully","Mariah Carey, Jermaine Dupri, Manuel Seal"
We Built This City,Starship,"August 26, 1985[1]","Dance-rock, synth-rock, [, 2, ]",4:53 (album version) 4:49 (single version),"Grunt, , , RCA","Bernie Taupin, Martin Page, Dennis Lambert, Peter Wolf","Peter Wolf, Jeremy Smith"
We Can't Be Friends (Wait for Your Love),Ariana Grande,"March 8, 2024 (2024-03-08)","Synth-pop, EDM, [, 1, ], [, 2, ]",3:48,Republic,"Ariana Grande, Max Martin, Ilya Salmanzadeh","Ariana Grande, Max Martin, Ilya"
We Can Work It Out,the Beatles,3 December 1965 (1965-12-03),"Folk rock, [, 1, ]",2:15,"Parlophone,  (UK), , Capitol,  (US)",Lennon–McCartney,George Martin
We Didn't Start the Fire,Billy Joel,"September 18, 1989 (1989-09-18)[1]","Pop rock, [, 2, ]",4:49 (album version)4:29 (single version),Columbia,Billy Joel,"Mick Jones, Billy Joel"
We Don't Talk About Bruno,"Carolina Gaitán, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto","November 19, 2021","Salsa, Latin pop",3:36,Walt Disney,Lin-Manuel Miranda,"Lin-Manuel Miranda, Mike Elizondo"
We Found Love,"Rihanna, Calvin Harris","September 22, 2011 (2011-09-22)","Electro house, pop",3:35,"Def Jam, SRP",Calvin Harris,Calvin Harris
We're an American Band (song),Grand Funk Railroad,"July 2, 1973","Hard rock, [, 1, ], [, 2, ]",3:263:31 (2002 remix),Capitol,Don Brewer,Todd Rundgren
We R Who We R,Kesha,"October 22, 2010 (2010-10-22)","Dance-pop, EDM, techno",3:24,RCA,"Kesha Sebert, Joshua Coleman, Lukasz Gottwald, Jacob Kasher Hindlin, Benjamin Levin","Dr. Luke, Benny Blanco, Ammo"
Whatcha Say,Jason Derulo,"May 5, 2009 (2009-05-05) (download)
August 4, 2009 (single)","Pop, R&B",3:42,", Beluga Heights, 
, Asylum, 
, Warner Bros.,","Jason Desrouleaux, Kisean Anderson, Achraf Baachaoui, J-Lex, Leff Row, J.R. Rotem, Imogen Heap","J.R. Rotem, Fuego"
Whatever Gets You thru the Night,John Lennon,23 September 1974 (US) 4 October 1974 (UK),"Pop, [, 1, ], [, 2, ], funk, [, 3, ], R&B, [, 4, ]",3:27,Apple,John Lennon,John Lennon
Whatever You Like,T.I.,"July 29, 2008 (2008-07-29)","Pop-rap, Southern hip hop",4:09 (album version)3:40 (radio edit),"Grand Hustle, Atlantic","Clifford Harris, James Scheffer, David Siegel",Jim Jonsin
What a Fool Believes,Kenny Loggins,"July 12, 1978",Soft rock,3:37,Columbia,"Kenny Loggins, Michael McDonald",Bob James
What a Girl Wants (Christina Aguilera song),Christina Aguilera,"September 4, 1999","Teen pop, R&B",3:52 (original version)3:35 (video version)3:20 (radio edit),"Arista Records, RCA","Shelly Peiken, Guy Roche",Guy Roche
What Do You Mean?,Justin Bieber,"August 28, 2015 (2015-08-28)","Pop, tropical house",3:26,Def Jam,"Justin Bieber, Jason Boyd, Mason Levy","MdL, Bieber, [, 1, ]"
What Goes Around... Comes Around,Justin Timberlake,"December 19, 2006 (2006-12-19)","Psychedelic pop, sophisti-pop",7:29 (album version)5:13 (radio edit),"Jive, Zomba","Justin Timberlake, Tim Mosley, Nate ""Danja"" Hills","Timbaland, Justin Timberlake, Nate ""Danja"" Hills"
What's Love Got to Do with It (song),Tina Turner,May 1984[1],"Pop rock, [, 2, ], R&B, [, 2, ]",3:48,Capitol,"Graham Lyle, Terry Britten",Terry Britten
What's My Name? (Rihanna song),"Rihanna, Drake","October 25, 2010 (2010-10-25)","Electro, -, R&B",4:23,", Def Jam, 
, SRP,","Mikkel S. Eriksen, Tor Erik Hermansen, Ester Dean, Traci Hale, Aubrey Graham","Stargate, Kuk Harrell"
What's Next (Drake song),Drake,"March 5, 2021 (2021-03-05)",Trap,2:58,", Republic, 
, OVO,","Aubrey Graham, Jonathan Priester, Maneesh Bidaye","Maneesh, Supah Mario"
When a Man Loves a Woman (song),Percy Sledge,March 1966,"Soul, [, 1, ], Southern soul, [, 2, ]",2:51,Atlantic,"Calvin Lewis, Andrew Wright","Marlin Greene, Quin Ivy"
When Doves Cry,Prince,"May 16, 1984 (1984-05-16)[1]","Experimental pop, [, 2, ], neo-psychedelia, [, 3, ], soul, [, 4, ], avant-pop, [, 5, ], synth-pop, [, 6, ], funk, [, 6, ], [, 7, ]","3:47 (7"" single edit)5:52 (12""/album version)",Warner Bros.,Prince,Prince
When I'm with You (Sheriff song),Sheriff,"January 1983 (Canada)
May 14, 1983 (1983-05-14), November 16, 1988 (U.S.)[1]","Soft rock, [, 2, ]",3:58,Capitol,Arnold Lanni,Stacy Heydon
When I Need You,Leo Sayer,February 1977,"Soft rock, [, 1, ], [, 2, ]",4:09,"Chrysalis,  (UK), Warner Bros.,  (US)","Albert Hammond, Carole Bayer Sager",Richard Perry
When I See You Smile,Bad English,"August 30, 1989 (1989-08-30)","Glam metal, [, 1, ], [, 2, ], pop rock, [, 3, ]",4:17,Epic,Diane Warren,Richie Zito
When I Think of You,Janet Jackson,"July 28, 1986 (1986-07-28)","Dance-pop, R&B, synth-funk",3:56,A&M,"James Harris III, Terry Lewis",Jimmy Jam and Terry Lewis
When I Was Your Man,Bruno Mars,"January 15, 2013",Pop,3:34,Atlantic,"Bruno Mars, Philip Lawrence, Ari Levine, Andrew Wyatt",The Smeezingtons
Where Did Our Love Go,the Supremes,"June 17, 1964","Pop-soul, [, 1, ], pop, [, 2, ], R&B, [, 2, ]",2:33,Motown,Holland–Dozier–Holland,"Brian Holland, Lamont Dozier"
Where Do Broken Hearts Go,Whitney Houston,February 1988,"Pop, soul, R&B",4:38,Arista,"Frank Wildhorn, Chuck Jackson",Narada Michael Walden
Whistle (Flo Rida song),Flo Rida,"April 24, 2012 (2012-04-24)","Electropop, hip house",3:45,", Poe Boy, 
, Atlantic,","Tramar Dillard, David Glass, Marcus Killian, Justin Franks, Breyan Isaac, Antonio Mobley","DJ Frank E, Glass"
Who Can It Be Now?,Men at Work,25 May 1981 (Australia)[1]May 1982 (US)[2],"Pop rock, [, 3, ], [, 4, ], new wave, [, 4, ], [, 5, ]",3:23,Columbia,Colin Hay,Peter McIan
Who's That Girl (Madonna song),Madonna,"June 29, 1987","Dance-pop, [, 1, ]",3:58,", Sire, 
, Warner Bros.,","Madonna, Patrick Leonard","Madonna, Patrick Leonard"
Why (Frankie Avalon song),Frankie Avalon,"November 9, 1959",Pop,2:30,"Chancellor,  1045","Peter De Angelis, Bob Marcucci",
Wild Thing (The Troggs song),the Troggs,22 April 1966 (1966-04-22),"Garage rock, [, 1, ], [, 2, ], hard rock, [, 3, ], [, 4, ], proto-punk, [, 5, ], psychedelia",2:30,", Fontana,  (UK), 
, Atco,  & Fontana (US),",Chip Taylor,Larry Page
Wild Wild West (Will Smith song),"Will Smith, Dru Hill, Kool Moe Dee","May 11, 1999 (1999-05-11)","Country rap, pop rap, [, 1, ]","4:05 (album version)
3:29 (radio version)",", Overbrook, 
, Columbia,","Kool Moe Dee, Rob Fusari, Will Smith, Stevie Wonder","Rob Fusari, Mark Wilson"
"Wild, Wild West (The Escape Club song)",the Escape Club,1988,"Dance-rock, [, 1, ]","5:44 (LP version)
3:59 (Single edit)
7:54 (Dance mix)",", WEA, 
, Atlantic,",The Escape Club,Chris Kimsey
Willow (song),Taylor Swift,"December 11, 2020 (2020-12-11)",Chamber folk,3:34,Republic,"Taylor Swift, Aaron Dessner",Aaron Dessner
Will It Go Round in Circles,Billy Preston,March 1973,"Funk, soul",3:42 (single version)4:28 (album version),A&M,"Billy Preston, Bruce Fisher",Billy Preston
Will You Love Me Tomorrow,the Shirelles,November 1960 (US)1961 (UK),"Brill Building, [, 1, ], doo-wop, [, 1, ], pop, [, 1, ], [, 2, ], soul, [, 2, ]",2:41,Scepter,,Luther Dixon
Winchester Cathedral (song),the New Vaudeville Band,26 August 1966[1],"Novelty, [, 2, ], music hall, [, 3, ], pop, [, 4, ]",2:20,Fontana,Geoff Stephens,Geoff Stephens
Windy (song),the Association,"May 1, 1967[1]","Psychedelic pop, [, 3, ], [, 4, ]",2:53,Warner Bros.,Ruthann Friedman,Bones Howe
Wind Beneath My Wings,Colleen Hewett,,Pop,,Avenue Records BA 223025,"(, L. Henley, /J. Silbar)",
Wishing Well (Terence Trent D'Arby song),Terence Trent D'Arby,"June 8, 1987 (UK)[1]January 1988 (US)[2]","Soul, pop, funk",3:33,CBS,"Terence Trent D'Arby, Sean Oliver","Terence Trent D'Arby, Martyn Ware"
Without Me (Halsey song),Halsey,"October 4, 2018 (2018-10-04)","Pop, electropop",3:21,Capitol,"Ashley Frangipane, Brittany Amaradio, Amy Allen, Louis Bell, Justin Timberlake, Timothy Mosley, Scott Storch",Louis Bell
Without You (Badfinger song),Badfinger,9 November 1970 (1970-11-09),,4:43,Apple,"Pete Ham, Tom Evans",Geoff Emerick
With Arms Wide Open,Creed,"April 18, 2000 (2000-04-18)",,"4:36 (album version)
3:53 (radio version)",", Wind-up, 
, Epic,","Scott Stapp, Mark Tremonti","Ron Saint Germain, John Kurzweg"
With a Little Luck,Wings,20 March 1978,"Synth-pop, yacht rock, [, 2, ], [, 3, ]",5:45 (full-length version)3:13 (radio edit version),"Parlophone,  (UK), Capitol,  (US)",Paul McCartney,Paul McCartney
With or Without You,U2,16 March 1987[1],Rock,4:56,Island,,"Daniel Lanois, Brian Eno"
Womanizer (song),Britney Spears,"September 26, 2008","Electropop, dance-pop",3:44,"Jive, Zomba",The Outsyders,The Outsyders
Woman in Love,Barbra Streisand,"August 16, 1980","Soft rock, post-disco, [, 2, ]",3:49,Columbia,"Barry Gibb, Robin Gibb",Gibb-Galuten-Richardson
Wonderland by Night,Bert Kaempfert,August 1960,"Jazz, [, 1, ], R&B, [, 1, ]",3:14,"Decca,  31141","Klaus Günter Neumann, Lincoln Chase (English lyrics)",
Wooden Heart,Elvis Presley,"23 September 1960 (1960-09-23) (G.I. Blues album)
10 March 1961 (1961-03-10) (UK single)
November 1964 (1964-11) (single)","Pop, folk",2:03,RCA,"Fred Wise, Ben Weisman, Kay Twomey, Bert Kaempfert, [, 1, ]","Steve Sholes, [, 1, ]"
Work (Rihanna song),"Rihanna, Drake","January 27, 2016 (2016-01-27)","Dancehall, reggae-pop, R&B",3:39,"Roc Nation, Westbury Road","Jahron Brathwaite, Matthew Samuels, Allen Ritter, Rupert Thomas Jr., Aubrey Graham, Robyn Fenty, Monte Moir",Boi-1da
Wrecking Ball (Miley Cyrus song),Miley Cyrus,"August 25, 2013 (2013-08-25)",Pop,3:41[1],RCA,"Maureen McDonald, Stephan Moccio, Wallace Skarbek, David Kim, Lukasz Gottwald, Henry Walter","Dr. Luke, Cirkut"
Yeah! (Usher song),"Usher, Lil Jon, Ludacris","January 10, 2004 (2004-01-10)[1]",Crunk&B,4:13,Arista,"Christopher Bridges, James Phillips, Jonathan Smith, LaMarquis Jefferson, Patrick Smith, Sean Garrett",Lil Jon
Yesterday (song),the Beatles,13 September 1965 (1965-09-13),"Chamber pop, [, 1, ], pop rock, [, 2, ]",2:03,"Capitol,  (US), , Parlophone,  (UK)",Lennon–McCartney,George Martin
"Yes, And?",Ariana Grande,"January 12, 2024","House, pop",3:34,Republic,"Ariana Grande, Max Martin, Ilya Salmanzadeh","Ariana Grande, Max Martin, Ilya"
You Ain't Seen Nothing Yet (Bachman–Turner Overdrive song),Bachman–Turner Overdrive,September 1974,"Hard rock, [, 1, ]","3:54 (album version)
3:31 (single version)",Mercury,Randy Bachman,Randy Bachman
You Are Not Alone,Michael Jackson,"August 15, 1995 (1995-08-15)","Pop, R&B","5:45 (album version)
4:54 (single edit)
4:34 (radio edit)",", Epic, 
, Sony, 
, MJJ,",R. Kelly,"R. Kelly, Michael Jackson"
You Are the Sunshine of My Life,Stevie Wonder,March 1973,"Pop-soul, [, 1, ], easy listening, [, 2, ]",2:58,Tamla,Stevie Wonder,Stevie Wonder
You Can't Hurry Love,the Supremes,"July 25, 1966","Pop, soul, R&B, Motown sound",2:44,"Motown,  M 1097",Holland–Dozier–Holland,"Brian Holland, Lamont Dozier"
You Don't Bring Me Flowers,"Barbra Streisand, Neil Diamond",October 1978,Easy listening,3:25,Columbia,"Neil Diamond, Alan and Marilyn Bergman",Bob Gaudio
You Don't Have to Be a Star (To Be in My Show),"Marilyn McCoo, Billy Davis Jr.",September 1976,"R&B, [, 1, ], soul, [, 2, ]",4:41 (Album version)3:40 (Single version),ABC Records,"James Dean, John Glover",Don Davis
You Give Love a Bad Name,Bon Jovi,"July 23, 1986","Glam metal, [, 1, ], [, 2, ], hard rock, [, 3, ], [, 4, ]",3:42,Mercury,"Desmond Child, Jon Bon Jovi, Richie Sambora",Bruce Fairbairn
You Haven't Done Nothin',Stevie Wonder,"August 7, 1974","Funk rock, [, 1, ]",3:29,Tamla Motown,Stevie Wonder,
You Keep Me Hangin' On,the Supremes,"October 12, 1966","Rock, [, 1, ], [, 2, ], pop, psychedelic soul, [, 3, ]",2:40,Motown,Holland–Dozier–Holland,"Brian Holland, Lamont Dozier"
You Light Up My Life (song),Kasey Cisyk,"August 16, 1977 (Charted the week of September 3)",Pop,3:29,Arista,"Joe Brooks, [, 1, ]",Joe Brooks
You Make Me Feel Like Dancing,Leo Sayer,October 1976,"Disco, pop, R&B","3:412:50 (7"" version)","Chrysalis,  (UK), Warner Bros.,  (US)","Leo Sayer, Vini Poncia, [, 1, ], [, 2, ]",Richard Perry
You Needed Me,Anne Murray,May 1978,"Soft rock, [, 1, ], [, 2, ]",3:41,"Capitol,  4574",Randy Goodrum,Jim Ed Norman
You're Beautiful,James Blunt,18 May 2005,"Pop rock, soft rock, alternative rock","3:32 (album version)
3:22 (single edit)",", Atlantic, 
, Custard,","James Blunt, Sacha Skarbek, Amanda Ghost",Tom Rothrock
You're in Love (Wilson Phillips song),Wilson Phillips,"January 30, 1991","Pop, [, 1, ], soft rock, [, 1, ]","3:59 (radio version)
4:35 (main version)",SBK,"Glen Ballard, Wilson Phillips",Glen Ballard
You're Makin' Me High,Toni Braxton,"May 13, 1996 (1996-05-13)","R&B, [, 1, ], [, 2, ]","4:27 (album mix)
4:12 (single mix)",", LaFace, 
, Arista,","Kenneth Edmonds, Bryce Wilson","Babyface, Bryce Wilson"
You're No Good,Dee Dee Warwick,1963,R&B,2:30,Jubilee,Clint Ballard Jr.,Jerry Leiber and Mike Stoller
You're Sixteen,Johnny Burnette,October 1960,"Pop, [, 1, ]",1:56,", Liberty,  (US), 
, London,  (UK),","Robert B. Sherman, Richard M. Sherman",Snuff Garrett
You're So Vain,Carly Simon,"November 8, 1972","Soft rock, [, 1, ], pop, [, 2, ]",4:19,Elektra,Carly Simon,"Richard Perry, [, 3, ]"
You're the One That I Want,"John Travolta, Olivia Newton-John",March 1978 (US)May 1978 (UK),"Pop, [, 1, ], bubblegum pop, [, 2, ]",2:49,RSO,John Farrar,John Farrar
You Should Be Dancing,Bee Gees,June 1976 (1976-06)[1],"Disco, [, 1, ], [, 2, ]","4:16 (single)4:47 (12"" version)",RSO,"Barry Gibb, Robin Gibb, Maurice Gibb","Bee Gees, Albhy Galuten, Karl Richardson"
You've Got a Friend,Carole King,1971,Soft rock,5:09,"Ode, A&M",Carole King,Lou Adler
You've Lost That Lovin' Feelin',the Righteous Brothers,November 1964,"Pop, R&B, blue-eyed soul",3:45,Philles,"Phil Spector, Barry Mann, Cynthia Weil",Phil Spector
(Can't Live Without Your) Love and Affection,Nelson,"May 19, 1990",Glam metal,3:55,Geffen,"Matthew Nelson, Gunnar Nelson, Marc Tanner","Marc Tanner, David Thoener"
(Everything I Do) I Do It for You,Bryan Adams,"June 17, 1991 (1991-06-17)[1]","Soft rock, [, 2, ]",6:34 (album/video version)4:06 (single version),A&M,"Bryan Adams, Michael Kamen, Robert ""Mutt"" Lange","Robert ""Mutt"" Lange"
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B. J. Thomas,January 1975,"Countrypolitan, [, 1, ]",3:23,"ABC,  , 12054","Larry Butler, Chips Moman",Chips Moman
(I Can't Get No) Satisfaction,the Rolling Stones,"4 June 1965 (US)
20 August 1965 (UK)","Rock, [, 1, ], [, 2, ]",3:45,", London,  (US), 
, Decca,  (UK),",Jagger–Richards,Andrew Loog Oldham
(I Just) Died in Your Arms,Cutting Crew,25 July 1986 (1986-07-25)[1],Pop rock,4:39,Virgin,Nick Van Eede,"Terry Brown, John Jansen, Cutting Crew"
(I've Had) The Time of My Life,"Bill Medley, Jennifer Warnes","July 10, 1987","Dance-rock, soft rock, [, 1, ]",6:464:50 (LP and single version),RCA,"John DeNicola, Donald Markowitz, Franke Previte",Michael Lloyd
(Just Like) Starting Over,John Lennon,23 October 1980 (US)[1]24 October 1980 (UK)[1],"Pop rock, doo-wop, rock and roll",3:54,Geffen,John Lennon,"John Lennon, Yoko Ono, Jack Douglas"
(Love Is) Thicker Than Water,Andy Gibb,September 1977,"Pop, [, 1, ], disco, [, 1, ], soul, [, 1, ]",3:23 (single version)  4:16 (album version),RSO,"Barry Gibb, Andy Gibb",Gibb-Galuten-Richardson
"(Shake, Shake, Shake) Shake Your Booty",KC and the Sunshine Band,1976,Disco,3:07,TK Records,"Harry Wayne Casey, Richard Finch","Harry Wayne Casey, Richard Finch"
(Sittin' On) The Dock of the Bay,Otis Redding,"January 8, 1968","Soul, folk, [, 2, ], [, 3, ]",2:38,"Volt, Atco","Steve Cropper, Otis Redding",Steve Cropper
(They Long to Be) Close to You,the Carpenters,"May 14, 1970","Easy listening, [, 1, ], [, 2, ], soft pop, [, 3, ]","4:33 (LP)
3:40 (single)",A&M,"Burt Bacharach, Hal David",Jack Daugherty
(You're My) Soul and Inspiration,the Righteous Brothers,"February 26, 1966","Pop, blue-eyed soul",3:00,Verve,"Barry Mann, Cynthia Weil",Bill Medley
(You're) Having My Baby,"Paul Anka, Odia Coates",June 1974 (US),"Soft rock, [, 1, ], easy listening, [, 2, ]",2:32,"United Artists Records,  , UA-XW454-W",Paul Anka,Rick Hall
