Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers,Lyricist(s),Composer(s)
Kill Bill (SZA song),SZA,"January 10, 2023","Pop
R&B
hip hop",2:35,"Top Dawg
RCA","Solána Rowe
Rob Bisel
Carter Lang","Rob Bisel
Carter Lang",,
Daydream Believer,the Monkees,"October 25, 1967","Psychedelic pop
baroque pop",3:00,Colgems #1012,John Stewart,Chip Douglas,,
Moody River,Pat Boone,May 1961,Country pop,2:41,Dot,Gary D. Bruce,Randy Wood,,
Surf City (song),Jan and Dean,"May 17, 1963",Vocal surf,2:36,Liberty #55580,"Brian Wilson, Jan Berry",Jan Berry,,
Save Your Tears,the Weeknd,"August 9, 2020",Synth-pop,3:36,"XO
Republic","Abel Tesfaye
Ahmad Balshe
Jason Quenneville
Max Martin
Oscar Holter","Max Martin
Oscar Holter
The Weeknd",,
Bad (Michael Jackson song),Michael Jackson,"September 7, 1987","Dance-pop
funk",4:07,Epic,Michael Jackson,"Quincy Jones
Michael Jackson (co.)",,
We're an American Band (song),Grand Funk Railroad,"July 2, 1973",Hard rock,263:31,Capitol,Don Brewer,Todd Rundgren,,
Here Comes the Hotstepper,Ini Kamoze,1994,"Hip hop
reggae fusion",4:13,Columbia,"Ini Kamoze
Chris Kenner
Kenton Nix
Salaam Remi",Salaam Remi,,
Take a Bow (Rihanna song),Rihanna,"April 15, 2008","Pop
R&B",3:48,"Def Jam
SRP","Mikkel S. Eriksen
Tor Erik Hermansen
Shaffer Smith","StarGate
Ne-Yo",,
Easier Said Than Done,The Essex,May 1963,Pop,2:08,Roulette,"William Linton, Larry Huff","George Goldner, Henry Glover",,
Watermelon Sugar,Harry Styles,18 May 2020,"Rock
funk-pop",2:53,"Erskine
Columbia","Harry Styles
Mitch Rowland
Tyler Johnson
Thomas Hull","Johnson
Kid Harpoon",,
Crimson and Clover,Tommy James and the Shondells,November 1968,"Psychedelic pop
psychedelic rock
bubblegum pop",3:23,"Roulette, R-7028",Tommy JamesPeter Lucia,Tommy James,,
Carnival (¥$ song),"¥$, Rich the Kid, Playboi Carti, [a]","February 15, 2024",Hip Hop,4:24,YZY,"Ye
Tyrone Griffin, Jr.
Dimitri Roger
Jordan Carter
Mark Williams
Grant Dickinson
Raul Cubina
The Legendary Traxster","Ye
Ty Dolla Sign
Ojivolta
TheLabCook
The Legendary Traxster",,
Without You (Badfinger song),Badfinger,9 November 1970,,4:43,Apple,"Pete Ham, Tom Evans",Geoff Emerick,,
Bette Davis Eyes,Kim Carnes,"March 10, 1981","New wave
soft rock
synth-rock",3:48,EMI America,Donna Weiss · Jackie DeShannon,Val Garay,,
The Tears of a Clown,Smokey Robinson & the Miracles,"July 1970   September 24, 1970","Soul
pop",3:02,TamlaT 54199,"Hank Cosby
Smokey Robinson
Stevie Wonder",Hank Cosby and Smokey Robinson,,
What a Girl Wants (Christina Aguilera song),Christina Aguilera,"September 4, 1999",Teen popR&B,3:52,Arista RecordsRCA,Shelly PeikenGuy Roche,Guy Roche,,
Hotel California,Eagles,"February 22, 1977",Rock,6:09,Asylum,"Don Felder
Don Henley
Glenn Frey",Bill Szymczyk,,
Good Thing (Fine Young Cannibals song),Fine Young Cannibals,14 April 1989,"Northern soul
pop-soul
R&B",3:24,London,"Roland Gift, David Steele",Fine Young Cannibals,,
Joy to the World (Three Dog Night song),Three Dog Night,February 1971,"Rock
white soul",3:40,Dunhill,Hoyt Axton,Richard Podolor[1],,
Big Bad John,Jimmy Dean,September 1961,"Country, talking blues",3:00,Columbia,Jimmy Dean,Don Law,,
Stuck on You (Elvis Presley song),Elvis Presley,"March 23, 1960","Rock and roll, blues",2:18,RCA Victor,Aaron SchroederJ. Leslie McFarland,,,
"Thank U, Next (song)",Ariana Grande,"November 3, 2018","Pop
R&B",3:27,Republic,,"Tommy Brown
Social House","Ariana Grande
Victoria Monét
Tayla Parx","Ariana Grande
Tayla Parx
Njomza Vitia
Kimberly Krysiuk
Tommy Brown
Michael Foster
Charles Anderson"
Alone Again (Naturally),Gilbert O'Sullivan,18 February 1972  May 1972,"Soft rock
pop",3:36,MAM,Gilbert O'Sullivan,Gordon Mills,,
Take Good Care of My Baby,Bobby Vee,"July 20, 1961",Pop,2:36,Liberty,"Carole King, Gerry Goffin",Snuff Garrett,,
The Hustle (song),Van McCoy & the Soul City Symphony,"April 18, 1975","Disco
dance",3:29,Avco Records,Van McCoy,"Hugo Peretti, Luigi Creatore",,
When I Think of You,Janet Jackson,"July 28, 1986",Dance-popR&Bsynth-funk,3:56,A&M,"James Harris III
Terry Lewis",Jimmy Jam and Terry Lewis,,
E.T. (song),"Katy Perry, Kanye West","February 11, 2011","Electronic
hip hop",3:28,Capitol,"Katy Perry
Lukasz Gottwald
Max Martin
Joshua Coleman","Dr. Luke
Max Martin
Ammo",,
Theme from Shaft,Isaac Hayes,"September 30, 1971","Soul
funk
disco",3:15,EnterpriseENA-9038,Isaac Hayes,Isaac Hayes,,
Cruel Summer (Taylor Swift song),Taylor Swift,"June 13, 2023","Synth-pop
electropop
industrial pop",2:58,Republic,"Taylor Swift
Jack Antonoff
Annie Clark","Taylor Swift
Jack Antonoff",,
Jump (Van Halen song),Van Halen,December 1983,"Synth-rock
hard rock
pop rock
pop metal
glam metal",4:02,Warner Bros.,"Eddie Van Halen
Alex Van Halen
David Lee Roth
Michael Anthony",Ted Templeman,,
I Want to Hold Your Hand,the Beatles,"29 November 1963  
26 December 1963","Rock and roll, pop",2:24,Parlophone  · Capitol,Lennon–McCartney,George Martin,,
I Will Always Love You,Dolly Parton,"March 11, 1974",Country,2:54,RCA Victor,Dolly Parton,Bob Ferguson,,
Without Me (Halsey song),Halsey,"October 4, 2018","Pop
electropop",3:21,Capitol,"Ashley Frangipane
Brittany Amaradio
Amy Allen
Louis Bell
Justin Timberlake
Timothy Mosley
Scott Storch",Louis Bell,,
Baby Got Back,Sir Mix-a-Lot,"May 7, 1992",Miami bass,4:21,Def AmericanReprise,Sir Mix-a-Lot,"Rick Rubin[a]
Sir Mix-a-Lot",,
My Sweet Lord,George Harrison,23 November 1970 15 January 1971,"Folk rock, gospel, pop",4:39,Apple,George Harrison,"George Harrison, Phil Spector",,
All Too Well,Taylor Swift,"October 22, 2012","Country
rock
soft rock",5:29,Big Machine,"Taylor Swift
Liz Rose","Taylor Swift
Nathan Chapman",,
Wannabe,Spice Girls,26 June 1996,Dance-pop,2:54,Virgin,Spice GirlsMatt RoweRichard Stannard,Matt RoweRichard Stannard,,
Let's Dance (David Bowie song),David Bowie,14 March 1983,"Funk
funk rock
new wave
post-disco
dance-pop
dance-rock",4:07,EMI America,David Bowie,"David Bowie
Nile Rodgers",,
Have You Ever Really Loved a Woman?,Bryan Adams,"April 4, 1995",Latin rock,4:50,A&M,"Bryan Adams
Michael Kamen
Robert John ""Mutt"" Lange","Bryan Adams
Robert John ""Mutt"" Lange",,
Oh Sheila,Ready for the World,1985,"Synth-funk
electropop",3:36,MCA,"Melvin Riley Jr.
Gordon Strozier
Gerald Valentine",Ready for the World,,
Crank That (Soulja Boy),Soulja Boy Tell'em,"May 2, 2007","Pop-rap
snap",3:42,ColliparkInterscopeHHH,DeAndre Way[4],Soulja Boy,,
I'm Too Sexy,Right Said Fred,15 July 1991,"Dance-pop
Eurodance",2:50,"Tug 
Charisma","Fred Fairbrass
Richard Fairbrass
Rob Manzoli",TommyD,,
Total Eclipse of the Heart,Bonnie Tyler,11 February 1983 12 June 1983,"Pop rock
power pop",6:58,"CBS
Columbia",Jim Steinman,Jim Steinman,,
Endless Love (song),"Diana Ross, Lionel Richie",26 June 1981,R&B,4:24,Motown,Lionel Richie,Lionel Richie and James Anthony Carmichael,,
Footloose (song),Kenny Loggins,"January 11, 1984",Rockcountryrockabilly,3:48,Columbia,Kenny LogginsDean Pitchford[3],Kenny LogginsLee DeCarlo,,
Drop It Like It's Hot,"Snoop Dogg, Pharrell","September 27, 2004",Hip hop,4:30,"Doggystyle
Star Trak
Geffen","Chad Hugo
Calvin Broadus
Pharrell Williams
Tim Stahl
John Guldberg",The Neptunes,,
With or Without You,U2,16 March 1987,Rock,4:56,Island,,Daniel LanoisBrian Eno,Bono,U2
Hangin' Tough (song),New Kids on the Block,"July 3, 1989",Pop rockdance rockfunk rock,4:18,Columbia,Maurice Starr,Maurice Starr,,
Walk Right In,the Rooftop Singers,December 1962,"Folk
folk-pop
novelty",2:33,Vanguard,"Gus Cannon, Hosea Woods","Erik Darling, Bill Svanoe",,
Girls Like You,"Maroon 5, Cardi B","May 31, 2018","Pop
pop rock",3:56,"222
Interscope","Adam Levine
Henry Walter
Belcalis Almanzar
Brittany Talia Hazzard
Jason Evigan
Gian Stone","Cirkut
Jason Evigan",,
We Can't Be Friends (Wait for Your Love),Ariana Grande,"March 8, 2024","Synth-pop
EDM",3:48,Republic,"Ariana Grande
Max Martin
Ilya Salmanzadeh","Ariana Grande
Max Martin
Ilya",,
I Believe (Fantasia song),Fantasia,"June 15, 2004",,5:02,"J
19
S","Tamyra Gray
Sam Watters
Louis Biancaniello","Louis Biancaniello
Sam Watters",,
Peppermint Twist,Joey Dee and the Starliters,1961,Rock and roll,4:05,Roulette,"Joey Dee, Henry Glover",,,
Hanky Panky (Tommy James and the Shondells song),the Shondells,October 1964 May 1966,"Garage rock
R&B",2:59,"Snap!, Roulette","Jeff Barry, Ellie Greenwich",Henry Glover,,
